Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GAD_DISEASE	Asthma	15	5.859375	0.003623965832411031	EGFR, PLXNA4, IL1RL1, CRLF2, PIP5K1B, HERC5, SMAD3, CHIT1, S1PR1, GRIN2B, SIGLEC8, CCR3, IL1B, IL5RA, PTGDR2	175	460	12971	2.4169565217391304	0.9799615133873822	0.9799615133873822	5.625930192446537
GAD_DISEASE	Arrhythmias, Cardiac|Long QT Syndrome	3	1.171875	0.006054415562960916	KCNH2, KCNJ2, SCN5A	175	9	12971	24.706666666666667	0.9985561250265417	0.9620016451216858	9.231306015733054
GAD_DISEASE	Celiac Disease|	11	4.296875	0.006191227043547393	IMMP2L, TAGAP, CCR3, PEBP4, IL1B, AJAP1, CDC34, LONRF2, TOX2, NME7, FOXP2	175	293	12971	2.7826621160409557	0.9987550731694664	0.8924241939258835	9.430366184966509
GAD_DISEASE	Atrial Fibrillation|	3	1.171875	0.012664178412513502	SCN1B, KCNH2, SCN5A	175	13	12971	17.104615384615386	0.999998906822214	0.967665012343496	18.39434432465581
GAD_DISEASE	Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections	8	3.125	0.019998838518399446	CSF3, SOCS2, GNLY, CCR3, HDC, LTF, IL1B, IL5RA	175	204	12971	2.906666666666667	0.9999999996443376	0.9871113457153402	27.544332948404392
GAD_DISEASE	respiratory syncytial virus bronchiolitis	8	3.125	0.019998838518399446	CSF3, SOCS2, GNLY, CCR3, HDC, LTF, IL1B, IL5RA	175	204	12971	2.906666666666667	0.9999999996443376	0.9871113457153402	27.544332948404392
GAD_DISEASE	Bronchiolitis, Viral|Respiratory Syncytial Virus Infections	8	3.125	0.02369973384748275	CSF3, SOCS2, GNLY, CCR3, HDC, LTF, IL1B, IL5RA	175	211	12971	2.810236966824645	0.999999999993956	0.9865034837123808	31.787315955649987
GAD_DISEASE	gastrointestinal symptoms	2	0.78125	0.026650150769252094	KCNH2, SCN5A	175	2	12971	74.12	0.9999999999997679	0.9843290033673313	35.00184528509993
GAD_DISEASE	Bone Density	8	3.125	0.030811196904538065	ADORA3, TNFSF11, CCR3, CNR2, SMAD3, IL1B, KIT, VLDLR	175	223	12971	2.659013452914798	0.9999999999999977	0.9852011061618727	39.29470703560454
GAD_DISEASE	Asthma|Bronchial Hyperreactivity|Hypersensitivity, Immediate	5	1.953125	0.033968258268001525	IL1RL1, CCR3, IL1B, IL5RA, PTGDR2	175	91	12971	4.072527472527472	0.9999999999999999	0.9840055075207458	42.37288527466947
GAD_DISEASE	depression | long QT syndrome	2	0.78125	0.0397092049568734	KCNH2, SCN5A	175	3	12971	49.413333333333334	1.0	0.98727148059808	47.59887056772608
GAD_DISEASE	Long QT Syndrome|Sinus Tachycardia|Tachycardia, Sinus	2	0.78125	0.0397092049568734	KCNH2, SCN5A	175	3	12971	49.413333333333334	1.0	0.98727148059808	47.59887056772608
GAD_DISEASE	Sudden Infant Death	3	1.171875	0.04711368394757365	IL1B, KCNH2, SCN5A	175	26	12971	8.552307692307693	1.0	0.991129824666785	53.6846362072949
GAD_DISEASE	SIDS/sudden infant death syndrome	3	1.171875	0.05044458750512922	KCNH2, KCNJ2, SCN5A	175	27	12971	8.235555555555555	1.0	0.9903960885623013	56.20040243517571
GAD_DISEASE	Leukemia, Myeloid, Acute|Translocation, Genetic	2	0.78125	0.05259404443362432	KIT, GFI1	175	4	12971	37.06	1.0	0.9886209240301225	57.75522470090762
GAD_DISEASE	Arrhythmias, Cardiac|	2	0.78125	0.05259404443362432	KCNH2, SCN5A	175	4	12971	37.06	1.0	0.9886209240301225	57.75522470090762
GAD_DISEASE	atriventricular block long QT syndrome	2	0.78125	0.05259404443362432	KCNH2, SCN5A	175	4	12971	37.06	1.0	0.9886209240301225	57.75522470090762
GAD_DISEASE	Long QT Syndrome	3	1.171875	0.057350064410097885	KCNH2, KCNJ2, SCN5A	175	29	12971	7.667586206896552	1.0	0.9893630734638917	61.01355381029443
GAD_DISEASE	Hepatitis C, Chronic|Liver Cirrhosis	4	1.5625	0.06316593204561473	IL1B, ACKR2, TIMP3, MMP24	175	68	12971	4.36	1.0	0.990766207770537	64.67791798782798
